id,timestamp,stream_type,source_detail,event,duration_ms,correlated_stall_ms,notes
20260514_140920_558,2026-05-14T14:09:20.558507-04:00,spotify,librespot,play_stop,31606,,session 31s
20260514_183429_166,2026-05-14T18:34:29.166342-04:00,spotify,librespot,play_start,,,
20260514_183429_740,2026-05-14T18:34:29.740846-04:00,spotify,librespot,dropout,5275,,
20260514_183436_469,2026-05-14T18:34:36.469281-04:00,spotify,librespot,play_stop,7302,,session 7s
20260514_184415_798,2026-05-14T18:44:15.798452-04:00,spotify,librespot,play_start,,,
20260514_184447_405,2026-05-14T18:44:47.405935-04:00,spotify,librespot,play_stop,31607,,session 31s
20260514_184819_889,2026-05-14T18:48:19.889132-04:00,spotify,librespot,play_start,,,
20260514_184828_656,2026-05-14T18:48:28.656884-04:00,spotify,librespot,dropout,3112,,
20260514_204025_691,2026-05-14T20:40:25.691399-04:00,spotify,librespot,play_stop,6725802,,session 6725s
20260514_214805_940,2026-05-14T21:48:05.940513-04:00,spotify,librespot,play_start,,,
20260514_222148_658,2026-05-14T22:21:48.658042-04:00,spotify,librespot,dropout,11377,,
20260514_222259_167,2026-05-14T22:22:59.167032-04:00,spotify,librespot,play_stop,2093226,,session 2093s
20260514_222339_568,2026-05-14T22:23:39.568282-04:00,spotify,librespot,play_start,,,
20260514_222645_283,2026-05-14T22:26:45.283489-04:00,spotify,librespot,dropout,3263,,
20260514_222651_141,2026-05-14T22:26:51.141221-04:00,spotify,librespot,dropout,6090,,
20260514_222706_323,2026-05-14T22:27:06.323866-04:00,spotify,librespot,dropout,5115,,
20260514_223038_938,2026-05-14T22:30:38.938920-04:00,spotify,librespot,dropout,10510,,
20260514_223121_069,2026-05-14T22:31:21.069122-04:00,spotify,librespot,play_stop,461500,,session 461s
20260514_223331_180,2026-05-14T22:33:31.180175-04:00,spotify,librespot,play_start,,,
20260514_223402_796,2026-05-14T22:34:02.796019-04:00,spotify,librespot,play_stop,31615,,session 31s
20260514_223457_005,2026-05-14T22:34:57.005858-04:00,spotify,librespot,play_start,,,
20260514_223506_774,2026-05-14T22:35:06.774513-04:00,spotify,librespot,dropout,22076,,
20260514_223529_268,2026-05-14T22:35:29.268000-04:00,spotify,librespot,pipe_stall,491,,
20260514_223610_104,2026-05-14T22:36:10.104471-04:00,spotify,librespot,dropout,5343,,
20260514_223625_169,2026-05-14T22:36:25.169664-04:00,spotify,librespot,dropout,5285,,
20260514_224601_922,2026-05-14T22:46:01.922863-04:00,spotify,librespot,dropout,5282,,
20260514_224643_747,2026-05-14T22:46:43.747000-04:00,spotify,librespot,pipe_stall,36588,,
20260514_231438_098,2026-05-14T23:14:38.098487-04:00,spotify,librespot,dropout,1000,,
20260514_231502_160,2026-05-14T23:15:02.160501-04:00,spotify,librespot,dropout,5245,,
20260514_231539_035,2026-05-14T23:15:39.035350-04:00,spotify,librespot,play_stop,2442029,,session 2442s
20260515_085541_623,2026-05-15T08:55:41.623548-04:00,spotify,librespot,play_start,,,
20260515_102009_529,2026-05-15T10:20:09.529321-04:00,spotify,librespot,play_stop,5067905,,session 5067s
20260515_133216_537,2026-05-15T13:32:16.537791-04:00,spotify,librespot,play_start,,,
20260515_134538_260,2026-05-15T13:45:38.260583-04:00,spotify,librespot,play_stop,801722,,session 801s
20260515_185215_090,2026-05-15T18:52:15.090525-04:00,spotify,librespot,play_start,,,
20260515_193249_309,2026-05-15T19:32:49.309000-04:00,spotify,librespot,pipe_stall,450,,
20260515_203545_765,2026-05-15T20:35:45.765502-04:00,spotify,librespot,dropout,5220,,
20260515_203613_111,2026-05-15T20:36:13.111000-04:00,spotify,librespot,pipe_stall,22198,,
20260515_212438_834,2026-05-15T21:24:38.834540-04:00,spotify,librespot,dropout,5349,,
20260515_212449_951,2026-05-15T21:24:49.951796-04:00,spotify,librespot,dropout,4382,,
20260515_212455_655,2026-05-15T21:24:55.655444-04:00,spotify,librespot,dropout,3437,,
20260515_213417_601,2026-05-15T21:34:17.601595-04:00,spotify,librespot,dropout,4407,,
20260515_220945_520,2026-05-15T22:09:45.520458-04:00,spotify,librespot,dropout,5346,,
20260515_220954_681,2026-05-15T22:09:54.681000-04:00,spotify,librespot,pipe_stall,3871,,
20260515_222210_593,2026-05-15T22:22:10.593781-04:00,spotify,librespot,dropout,5261,,
20260515_222247_486,2026-05-15T22:22:47.486905-04:00,spotify,librespot,play_stop,12632396,,session 12632s
20260515_222318_086,2026-05-15T22:23:18.086161-04:00,spotify,librespot,play_start,,,
20260515_222318_617,2026-05-15T22:23:18.617000-04:00,spotify,librespot,pipe_stall,386,,
20260515_222547_688,2026-05-15T22:25:47.688569-04:00,spotify,librespot,dropout,2667,,
20260515_223345_282,2026-05-15T22:33:45.282598-04:00,spotify,librespot,dropout,1277,,
20260515_223605_072,2026-05-15T22:36:05.072280-04:00,spotify,librespot,dropout,1479,,
20260515_223700_805,2026-05-15T22:37:00.805915-04:00,spotify,librespot,dropout,5348,,
20260515_223727_888,2026-05-15T22:37:27.888000-04:00,spotify,librespot,pipe_stall,21723,,
20260515_223848_474,2026-05-15T22:38:48.474266-04:00,spotify,librespot,dropout,5286,,
20260515_223925_378,2026-05-15T22:39:25.378864-04:00,spotify,librespot,dropout,12236,,
20260515_223938_067,2026-05-15T22:39:38.067000-04:00,spotify,librespot,pipe_stall,388,,
20260515_224008_045,2026-05-15T22:40:08.045401-04:00,spotify,librespot,play_stop,1009959,,session 1009s
20260515_224051_336,2026-05-15T22:40:51.336933-04:00,spotify,librespot,play_start,,,
20260515_224052_635,2026-05-15T22:40:52.635000-04:00,spotify,librespot,pipe_stall,778,,
20260515_224133_792,2026-05-15T22:41:33.792410-04:00,spotify,librespot,play_stop,42455,,session 42s
20260515_224208_963,2026-05-15T22:42:08.963086-04:00,spotify,librespot,play_start,,,
20260515_224306_331,2026-05-15T22:43:06.331108-04:00,spotify,librespot,play_stop,57368,,session 57s
20260515_224355_732,2026-05-15T22:43:55.732047-04:00,spotify,librespot,play_start,,,
20260515_225330_046,2026-05-15T22:53:30.046160-04:00,spotify,librespot,play_stop,574314,,session 574s
20260515_225510_897,2026-05-15T22:55:10.897150-04:00,spotify,librespot,play_start,,,
20260515_225512_302,2026-05-15T22:55:12.302000-04:00,spotify,librespot,pipe_stall,1470,,
20260515_231056_947,2026-05-15T23:10:56.947929-04:00,spotify,librespot,dropout,5360,,
20260515_231133_931,2026-05-15T23:11:33.931595-04:00,spotify,librespot,play_stop,983034,,session 983s
20260515_231444_300,2026-05-15T23:14:44.300241-04:00,spotify,librespot,play_start,,,
20260515_231444_670,2026-05-15T23:14:44.670000-04:00,spotify,librespot,pipe_stall,410,,
20260515_231657_981,2026-05-15T23:16:57.981378-04:00,spotify,librespot,dropout,5292,,
20260515_231707_311,2026-05-15T23:17:07.311501-04:00,spotify,librespot,dropout,5231,,
